Date;Artist;Song Name;Korean Name;Director;lien_video;Type;Release;vues;likes;comments;id_video;ratio_engagement
2020-05-13;busters;Paeonia;피오니아;;https://youtu.be/ocFqqAMooSk;Girl;Major;;;;14;
2020-05-13;bol4;Hug;품;;https://youtu.be/qfeoX17dav0;Girl;Major;4768719.0;115614.0;3925.0;15;0.024244246725378452
2020-05-12;bvndit;Jungle;정글;;https://youtu.be/-lqsGDqkl2c;Girl;Major;1502110.0;126000.0;5983.0;16;0.08388200597825725
2020-05-12;baek z young, ong seongwu;didn't say anything;아무런 말들도;;https://youtu.be/nfEPWfKtS0k;Co-ed;Special;902193.0;60634.0;2764.0;17;0.06720734920355179
2020-05-11;nu'est;I'm In Trouble;;;https://youtu.be/4Lm9u-iXrDc;Boy;Major;25514366.0;459305.0;45846.0;18;0.018001819053626494
2020-05-11;day6;Zombie;;;https://youtu.be/k8gx-C7GCGU;Boy;Major;20812536.0;1076134.0;78972.0;19;0.051706048700648495
2020-05-07;moon jongup;Headache feat. Yunhway;개화;;https://youtu.be/KTAZ7I8RylM;Boy Solo;Major;295028.0;26451.0;2129.0;20;0.08965589706739699
2020-05-07;natty;Nineteen;;;https://youtu.be/rQpWdm5zHOU;Girl Solo;Major;8967224.0;391754.0;18486.0;21;0.04368732173970451
2020-05-07;bol4;Leo feat. Baekhyun;;;https://youtu.be/L8UUYfe6-UA;Girl;Major;12652022.0;680082.0;50251.0;22;0.05375283097041722
2020-05-06;iu;eight feat. SUGA;에잇;;https://youtu.be/TgOu00Mf3kI;Girl Solo;Major;186008496.0;5887791.0;291415.0;23;0.03165334447949087
2020-05-05;2z;Doctor;;;https://youtu.be/JipujX1_8aQ;Boy;Major;160629.0;18162.0;1718.0;24;0.1130680014194199
2020-05-04;astro;Knock;널 찾아가;;https://youtu.be/Zz7YZtpz2Ek;Boy;Major;34442959.0;1263575.0;118004.0;25;0.03668601759796538
2020-05-04;fanatics;VAVI GIRL;;;https://youtu.be/10fv5Do3McY;Girl;Major;4158314.0;75938.0;0.0;26;0.018261728190800405
2020-05-04;taeyeon;Happy;;;https://youtu.be/Raj-AuQgCTg;Girl Solo;Major;12007549.0;719735.0;36513.0;27;0.0599402092800121
2020-04-29;nct dream;Ridin';라이딘;;https://youtu.be/vofjeJvRT9c;Boy;Major;86003278.0;2567279.0;434850.0;28;0.029850943588452524
2020-04-29;bibi;Kazino;사장님 도박은 재미로 하셔야 합니다;Segaji Video;https://youtu.be/ObzvA8tx9aA;Girl Solo;Major;19929259.0;516723.0;8898.0;29;0.02592785813060084
2020-04-28;ha:tfelt;Life Sucks;;;https://youtu.be/Qk0fkeMAUz0;Girl Solo;Major;;;;30;
2020-04-28;minseo;No Good Girl;;;https://youtu.be/Ctlp1NNqXq0;Girl Solo;Major;715385.0;28712.0;890.0;31;0.04013503218546657
2020-04-28;gwsn;Bazooka!;바주카;ZANYBROS;https://youtu.be/wMj3sLP_azg;Girl;Major;26805991.0;201275.0;12996.0;32;0.007508582689593531
2020-04-27;oh my girl;Nonstop;살짝 설렜어;;https://youtu.be/iDjQSdN_ig8;Girl;Major;96969229.0;1202327.0;58519.0;33;0.012399057024574259
2020-04-27;chungha;Stay Tonight;;Rigend Film;https://youtu.be/YPFIh0dfYfw;Girl Solo;Major;28427883.0;915418.0;27807.0;34;0.032201412957834394
2020-04-26;noir;Lucifer;;;https://youtu.be/30dfBPkKcRE;Boy;Major;1255878.0;113483.0;6492.0;35;0.0903614841569006
2020-04-26;ha:tfelt;Solitude;;;https://youtu.be/eto1czNzbwY;Girl Solo;Major;;;;36;
2020-04-26;ben;Bad;나쁜 놈;;https://youtu.be/BYQ5MKtSzd0;Girl Solo;Major;195176.0;13052.0;1105.0;37;0.0668729761855966
2020-04-23;ha:tfelt;Satellite;;;https://youtu.be/aiaLSkDDBec;Girl Solo;Major;;;;38;
2020-04-23;solar;Spit it out;뱉어;;https://youtu.be/V8FXWf0s7K0;Girl Solo;Major;24980040.0;1088422.0;50769.0;39;0.04357166761942735
2020-04-23;zico x kang daniel;Refresh;;;https://youtu.be/k7aIhVBX3hw;Boy;CF;12393425.0;248396.0;8874.0;40;0.02004256289121046
2020-04-22;april;LALALILALA;라라리라라;;https://youtu.be/cO9DbwTF7rY;Girl;Major;8857804.0;249871.0;27049.0;41;0.028209136259957884
2020-04-22;h&d;Good Night;;;https://youtu.be/7JfEAusJ3OM;Boy;Minor;795135.0;69937.0;5551.0;42;0.08795613323523678
2020-04-21;imfact;Lie;거짓말이야;;https://youtu.be/lOQStviApZ4;Boy;Minor;;;;43;
2020-04-21;ha:tfelt;Satellite (Feat. ASH ISLAND);;;https://youtu.be/aiaLSkDDBec;Girl Solo;Major;;;;44;
2020-04-21;h&d;Soul;;;https://youtu.be/ej-Yo2E-Pio;Boy;Major;1493409.0;105170.0;11748.0;45;0.07042277098905926
2020-04-20;got7;Not By The Moon;;;https://youtu.be/ladClnnJhqg;Boy;Major;96001946.0;2511611.0;602628.0;46;0.026162084256083726
2020-04-20;bvndit;Children;;;https://youtu.be/IRYBMJ2qSns;Girl;Minor;340746.0;21622.0;765.0;47;0.06345489015278243
2020-04-18;zelo;She and Malibu;그녀와는 말리부;;https://youtu.be/EFjCTvNZU1s;Boy Solo;Major;198331.0;18478.0;1186.0;48;0.09316748264265294
2020-04-17;monsta x;YOU CAN'T HOLD MY HEART;;;https://youtu.be/AWV3pIesd0Y;Boy;English;17476125.0;729538.0;34328.0;49;0.04174483759986839
2020-04-14;cravity;Break All The Rules;;HIGHQUALITYFISH;https://youtu.be/NFlceOv8LMU;Boy;Major;15977952.0;640407.0;61697.0;50;0.04008066866141543
2020-04-13;apink;Dumhdurum;덤더럼;VIKINGS LEAGUE;https://youtu.be/WqzTRK5GPWQ;Girl;Major;45144477.0;752266.0;71179.0;51;0.016663522317469755
2020-04-13;girlkind;Future;퓨쳐;;https://youtu.be/qXGRDLwR-EM;Girl;Major;268233.0;12990.0;980.0;52;0.04842804576618089
2020-04-10;keembo;Thank You, Anyway;;;https://youtu.be/b8Yqo91ahZk;Girl;Major;58156.0;5318.0;326.0;53;0.09144370314326983
2020-04-09;winner;Remember;;;https://youtu.be/NTJ8esMHW2E;Boy;Major;26027160.0;494202.0;35458.0;54;0.018987934142641764
2020-04-09;mcnd;Spring;떠;;https://youtu.be/GpYOfM_PwZg;Boy;Major;14820033.0;424067.0;36717.0;55;0.028614443706029533
2020-04-09;dalsooobin;Dive;다이브;;https://youtu.be/IENMc46TMtU;Girl Solo;Major;162075.0;4474.0;533.0;56;0.02760450408761376
2020-04-08;unvs;Solar Eclipse (feat room102);절대 모를거야;;https://youtu.be/ger1cmhBmT4;Boy;Major;113348.0;9372.0;446.0;57;0.08268341744009598
2020-04-07;stella jang;Villain;빌런;;https://youtu.be/ghpn99s8I-U;Girl Solo;Major;22015469.0;581710.0;10270.0;58;0.026422784815531297
2020-04-06;(g)i-dle;Oh My God;오마이갓;Rigend Film;https://youtu.be/om3n2ni8luE;Girl;Major;226519335.0;3441186.0;210390.0;59;0.015191577354754286
2020-04-06;max changmin;Chocolate;;;https://youtu.be/-sKqPjhSiq0;Boy Solo;Major;6679261.0;332269.0;17243.0;60;0.04974637164201249
2020-04-05;cignature;ASSA;아싸;;https://youtu.be/xDuaONIDgvc;Girl;Major;3203389.0;152711.0;7144.0;61;0.04767170019001751
2020-04-02;onewe;Q feat Hwasa;모르겠다고;;https://youtu.be/Ww0O3RhZbXw;Boy;Major;;;;62;
