id_video;nom_du_groupe;vues;likes;ratio_engagement;lien_video
115;pentagon;27035091.0;543209.0;0.020092737990044126;https://youtu.be/eMIBLloecRI
116;cherry bullet;15460844.0;229827.0;0.014865100508096453;https://youtu.be/FFSHUWCDK8Q
118;the boyz;16867831.0;0.0;0.0;https://youtu.be/EZntLk9bTUw
120;ikon;41613206.0;1636481.0;0.039326001462132;https://youtu.be/brP5M0o4hi8
121;bvndit;836219.0;55493.0;0.06636180235081958;https://youtu.be/LWQ5zNi_9r8
122;loona;35136596.0;699936.0;0.019920427123902382;https://youtu.be/GEo5bmUKFvI
124;mamamoo;18816676.0;309558.0;0.016451258447560027;https://youtu.be/yc10BuFih2U
125;cignature;4531389.0;227031.0;0.05010185618581852;https://youtu.be/WM9DCnxXstI
126;dkb;2412638.0;159638.0;0.06616740679704125;https://youtu.be/0VngyLZ0hQI
127;everglow;299062075.0;4300348.0;0.014379449483857156;https://youtu.be/NoYKBAajoyo
128;gfriend;28830320.0;948119.0;0.03288617677500631;https://youtu.be/kx5TWKPE5sU
129;dreamcatcher;10162719.0;303730.0;0.029886686820721896;https://youtu.be/RKBJVdjOHUY
132;ateez;1296690.0;68919.0;0.05314994331721537;https://youtu.be/xU7vogho4R0
133;golden child;11534267.0;173177.0;0.015014131370463334;https://youtu.be/UjkNOC9h3_g
136;super junior;23565681.0;945650.0;0.04012826957981821;https://youtu.be/Uqi34thogl4
137;nature;466403.0;10460.0;0.022426956944959615;https://youtu.be/CBsOb4R1AHw
139;super junior;2533488.0;161639.0;0.06380097320374124;https://youtu.be/yB5kc4VGo5E
140;gavy nj;825190.0;3946.0;0.00478192901028854;https://youtu.be/Kta0alJhOmY
144;bts;44978905.0;3717475.0;0.08264929971060879;https://youtu.be/vGbuUFRdYqU
146;tvxq!;1033769.0;17897.0;0.01731237829727918;https://youtu.be/jVlzyC5WFZ0
148;txt;23735319.0;1105498.0;0.04657607508877382;https://youtu.be/2u8ExBR-RbQ
152;enoi;1164977.0;45569.0;0.03911579370236494;https://youtu.be/IYSlVTlv4bQ
153;ans;5594684.0;172685.0;0.030865907708102908;https://youtu.be/-NGoD8l-fp4
156;dreamnote;1379589.0;62406.0;0.04523521135642572;https://youtu.be/DQ4Ni7KsHoI
157;verivery;16795061.0;245502.0;0.014617511660124366;https://youtu.be/X2RyGcufXKw
158;red velvet;54501.0;5871.0;0.10772279407717289;https://youtu.be/aVMs0cO-dMQ
162;ateez;94573942.0;1492882.0;0.015785341801656104;https://youtu.be/yW7wZX3DUaY
163;sf9;47055318.0;578242.0;0.012288557905399768;https://youtu.be/n8zQysKciao
164;m.o.n.t;536620.0;61612.0;0.11481495285304312;https://youtu.be/qdJwaiZBV5E
166;tst;667652.0;50211.0;0.07520534649787614;https://youtu.be/O9sgPPXoPsI
168;momoland;61192600.0;714899.0;0.011682768831525381;https://youtu.be/TbuP2ypiTRc
170;red velvet;404590008.0;6494749.0;0.01605266781576079;https://youtu.be/uR8Mrt1IpXg
171;oneus;1176362.0;70477.0;0.05991097978343401;https://youtu.be/5N3Wl-07Pws
175;stray kids;50415680.0;1520568.0;0.030160616697027593;https://youtu.be/Fpgd3ac3_nM
176;jbj95;276250.0;19693.0;0.0712868778280543;https://youtu.be/2KkPu680fQc
179;hi cutie;26811.0;972.0;0.03625377643504532;https://youtu.be/Y1ENebCORMk
181;limitless;193763.0;14038.0;0.07244933243188845;https://youtu.be/-KBg_KnB7SU
182;newkidd;1185182.0;129681.0;0.10941863781258912;https://youtu.be/XIfhwwAG1Oo
183;exo;172252766.0;4778987.0;0.02774403634249914;https://youtu.be/uxmP4b2a0uY
184;aoa;14204200.0;298069.0;0.020984567944692414;https://youtu.be/ixxWWKX4S_8
186;astro;35665868.0;1171822.0;0.03285555814876004;https://youtu.be/wS7anrSXKrY
187;cix;8616903.0;289529.0;0.03360012292119338;https://youtu.be/xHx-kNjEYZM
188;wjsn;15344507.0;276233.0;0.018002077225420146;https://youtu.be/2Q9G6R2hKIQ
189;golden child;10001350.0;313189.0;0.031314672519209906;https://youtu.be/AnSAGpoqLPg
191;mamamoo;430581701.0;5354592.0;0.012435716584249362;https://youtu.be/KhTeiaCezwM
192;in2it;883980.0;63058.0;0.07133419308129144;https://youtu.be/5UEASmBf89o
193;stray kids;24810090.0;1212161.0;0.04885758173388327;https://youtu.be/ZnpEBYvgiAU
194;nature;9441558.0;21249.0;0.002250581948445373;https://youtu.be/F95zh5JMi_Q
195;seven o'clock;280495.0;22756.0;0.08112800584680654;https://youtu.be/lKmUjW0xAlY
196;ateez;6834484.0;251322.0;0.03677263711495996;https://youtu.be/ZLQm-8Z6C8M
197;the boyz;2838364.0;96404.0;0.03396463596635245;https://youtu.be/gHp42n13nPs
199;bvndit;6668423.0;102019.0;0.015298819525995877;https://youtu.be/n5bqzXD4WTc
203;b.i.g;931001.0;87625.0;0.09411912554336677;https://youtu.be/6HFkXcSaeDM
204;got7;137949065.0;2491337.0;0.01805983244612785;https://youtu.be/xQI9oZEY-B0
205;victon;756757.0;54559.0;0.07209579825492199;https://youtu.be/xkMV1CUdJWk
206;hinapia;3873094.0;156726.0;0.04046532307245835;https://youtu.be/K_qrsewuTwo
211;n.flying;450140.0;18093.0;0.04019416181632381;https://youtu.be/aVvSVMuR7KE
213;we in the zone;49327.0;4055.0;0.08220649948304175;https://youtu.be/T0-CgxpP2v8
214;gfriend;14765408.0;402672.0;0.02727130872374133;https://youtu.be/mc274HUFhQQ
217;a.c.e;20904714.0;602965.0;0.02884349434295059;https://youtu.be/j2MyB1MjumM
219;monsta x;49385738.0;1009334.0;0.020437762821323032;https://youtu.be/aa7hl8A0tAY
220;brown eyed girls;433395.0;15849.0;0.036569411276087635;https://youtu.be/u-M3mTEVyxU
221;brown eyed girls;1645792.0;55759.0;0.03387973692908946;https://youtu.be/-ZvOzBOv1nc
224;sunny hill;428992.0;11909.0;0.027760424436819333;https://youtu.be/U4DaypnKWDg
225;m.o.n.t;162044.0;14306.0;0.08828466342474883;https://youtu.be/Z285W7-ciis
228;ariaz;633514.0;30257.0;0.047760586190676135;https://youtu.be/QISipqxMXxU
229;tvxq!;1563728.0;25743.0;0.016462581727768513;https://youtu.be/v0hq5rJJqJI
230;winner;13741678.0;591109.0;0.04301578016891387;https://youtu.be/oDKMLDH8kqc
231;day6;18483204.0;729285.0;0.03945663316814552;https://youtu.be/CWUGikRxGQs
232;monsta x;6649029.0;454380.0;0.06833779789500091;https://youtu.be/SRSBHbmV7hM
235;cix;8022463.0;230174.0;0.028691188728449106;https://youtu.be/rlYAk9M8q7I
236;nu'est;13633097.0;299566.0;0.021973437143445837;https://youtu.be/m5kOBOfoySA
237;vav;17396833.0;285844.0;0.016430806687631017;https://youtu.be/jG5IyiVgaxA
238;txt;127974594.0;3941131.0;0.030796198501711988;https://youtu.be/6yWPfUz0z94
241;bts;241868194.0;7319588.0;0.030262714079718974;https://youtu.be/eXBu09fwe3I
242;super junior;39758256.0;771717.0;0.019410232682238376;https://youtu.be/9yimV9i-dY0
243;1the9;1417293.0;100738.0;0.07107775174222973;https://youtu.be/6n5HB7ec_CE
244;twice;75748245.0;1334808.0;0.017621635986417902;https://youtu.be/zQELp93xxfo
245;monsta x;27183997.0;729433.0;0.02683317688712223;https://youtu.be/foHejoV20bc
247;n.flying;2424715.0;84517.0;0.0348564676673341;https://youtu.be/_2XBCywb8ng
251;ladies' code;17936.0;1420.0;0.07917038358608386;https://youtu.be/RIsSCnDBDbY
252;stray kids;80663420.0;2222490.0;0.027552637862366856;https://youtu.be/UWoyeuwj9c0
253;ateez;136714831.0;2220899.0;0.01624475547938175;https://youtu.be/Z_BhMhZpAug
254;greatguys;917763.0;96905.0;0.10558826189332104;https://youtu.be/1ZlLwThQZ8I
255;onf;6870219.0;0.0;0.0;https://youtu.be/gH14nS5NC0g
256;ab6ix;14775043.0;378074.0;0.025588690334099197;https://youtu.be/gKxTS22TdsQ
257;super junior;17832060.0;703771.0;0.03946661238241684;https://youtu.be/CbFh06IpSwA
266;oneus;99343.0;14126.0;0.1421942159991142;https://youtu.be/yHJ6JQeP8LI
270;sonamoo;1477201.0;4573.0;0.0030957195398595046;https://youtu.be/5PyOY1HRuIE
273;tvxq!;2580562.0;30761.0;0.011920271630753302;https://youtu.be/1XLxZ5rJzQs
275;twice;521311896.0;5315331.0;0.010196066962569372;https://youtu.be/3ymwOvzhwHs
278;saturday;2477945.0;155586.0;0.06278831854621471;https://youtu.be/uamioRNrvQ4
282;dreamcatcher;36268895.0;882957.0;0.024344744994298832;https://youtu.be/W761DtH1oRg
283;3ye;6194597.0;309862.0;0.05002133310689945;https://youtu.be/spYi8qkYDCg
284;super junior;5876396.0;205892.0;0.03503712139209134;https://youtu.be/eM5XiXrBu74
285;gwsn;47963.0;2483.0;0.0517690719929946;https://youtu.be/clmMaToHSns
286;seventeen;61294622.0;1381963.0;0.022546235785580016;https://youtu.be/ap14O5-G7UA
