nom_du_groupe;Short;Korean Name;Debut;Company;Members;Orig. Memb.;Fanclub Name;Active;id_group;genre
dal shabet;;달샤벳;2011-01-03;Happy Face;4;6;Darling;Hiatus;45;Girl Group
davichi;;다비치;2008-02-04;CJ E&M;2;2;;Yes;46;Girl Group
destiny;;데스티니;2018-09-28;D-SIDE;4;4;;Yes;47;Girl Group
dia;;다이아;2015-07-14;MBK;7;7;AID;Yes;48;Girl Group
dorothy;;도로시;2016-08-16;Leek Mill;3;5;;No;49;Girl Group
dreamcatcher;;드림캐쳐;2017-01-13;Happy Face;7;7;;Yes;50;Girl Group
dreamnote;;드림노트;2018-11-07;iME;6;8;;Yes;51;Girl Group
elris;;엘리스;2017-07-01;Hunus;7;5;;Yes;52;Girl Group
episode;;에피소드;2020-02-04;Pops;5;5;;Yes;53;Girl Group
everglow;;에버글로우;2019-03-18;Yuehua;6;6;;Yes;54;Girl Group
evol;;이블;2012-08-10;Stardom;5;5;Voller;No;55;Girl Group
exid;;이엑스아이디;2012-02-16;Yedang;5;6;LEGO;Yes;56;Girl Group
f(x);;에프엑스;2009-08-24;SM;4;5;MeU;No;57;Girl Group
f-ve dolls;5Dolls;파이브돌스;2011-01-20;MBK;6;5;;No;58;Girl Group
favorite;;페이버릿;2017-07-05;Astory;6;6;;Yes;59;Girl Group
fiestar;;피에스타;2012-08-31;LOEN;5;6;Let's;No;60;Girl Group
flavor;;플레이버;2018-11-26;FENT;3;3;;Yes;61;Girl Group
fromis_9;;프로미스나인;2018-01-24;Stone;9;9;;Yes;62;Girl Group
gavy nj;;가비엔제이;2005-11-11;Good Fellas;3;3;;Yes;63;Girl Group
gawi bawi bo;GBB;지비비;2018-05-01;LOUDers;5;5;;Yes;64;Girl Group
geegu;;지구;2017-10-26;NOS;7;9;;Yes;65;Girl Group
gfriend;;여자친구;2015-01-15;Source;6;6;Buddy;Yes;66;Girl Group
gi;Global Icon;지아이;2013-04-03;Simtong;3;5;;No;67;Girl Group
girl's day;GsD;걸스데이;2010-07-07;DreamT;4;5;Dai5y;Hiatus;68;Girl Group
girlkind;;걸카인드;2018-01-16;Nextlevel;5;5;;Yes;69;Girl Group
girls girls;;여자여자;2015-12-09;H Brothers;4;5;;No;70;Girl Group
girls' alert;GsA;소녀주의보;2017-05-25;Roots;5;5;;Yes;71;Girl Group
girls' generation;SNSD;소녀시대;2007-08-05;SM;5;9;SONE;Yes;72;Girl Group
glam;;글램;2012-07-16;Big Hit;4;4;;No;73;Girl Group
good day;;굿데이;2017-08-30;C9;10;10;;No;74;Girl Group
gp basic;;지피 베이직;2011-03-18;Jacyhan;4;6;Spade;No;75;Girl Group
greyish;;그레이시;2017-06-01;Elijah;4;4;;Yes;76;Girl Group
gugudan;;구구단;2016-06-28;Jellyfish;8;9;;Yes;77;Girl Group
gwsn;;공원소녀;2018-09-05;Kiwi Pop;7;7;Groo;Yes;78;Girl Group
h.u.b;HUB;허브;2017-02-09;New Planet;5;4;;Yes;79;Girl Group
hash tag;Hashtag;해시태그;2017-10-11;LUK;7;7;;Yes;80;Girl Group
hello venus;HV;헬로비너스;2012-05-09;Fantagio;6;6;Hello Cupid;No;81;Girl Group
heygirls;;헤이걸스;2017-11-20;Moai;4;4;;Yes;82;Girl Group
hi cutie;;하이큐티;2017-10-12;Space;4;5;;Yes;83;Girl Group
highschool;;여고생;2019-04-30;Richworld;4;4;High Class;Yes;84;Girl Group
highteen;;하이틴;2016-10-14;Elijah;4;4;;Yes;85;Girl Group
hinapia;;희나피아;2019-11-03;Alseulbit;5;5;;Yes;86;Girl Group
hint;;힌트;2017-03-31;Starpro;5;7;;Yes;87;Girl Group
honey popcorn;;허니팝콘;2018-03-21;Kyun Create;3;3;;Yes;88;Girl Group
i.c.e;;아이스;2015-11-16;HS;3;4;;Yes;89;Girl Group
itzy;;있지;2019-02-12;JYP;5;5;Mitzy;Yes;90;Girl Group
iz*one;IZONE;아이즈원;2018-10-29;Off The Record;12;12;;Yes;91;Girl Group
jewelry;;쥬얼리;2001-03-30;Star Empire;4;4;;No;92;Girl Group
kara;;카라;2007-03-29;DSP;4;5;Kamilia;No;93;Girl Group
khan;;칸;2018-05-23;Maroo;2;2;;No;94;Girl Group
kitten girls;;키튼걸스;2018-09-04;Wannabe;4;4;;Yes;95;Girl Group
laboum;;라붐;2014-08-27;NH;5;6;Latte;Yes;96;Girl Group
ladies' code;LC;레이디스 코드;2013-03-07;Polaris;3;5;Lavely;Hiatus;97;Girl Group
